frame number,frequency,latency
842,10,10769
843,10,10726
844,10,10097
845,10,8970
846,10,9617
847,10,9511
849,10,9331
850,10,8541
851,10,9726
852,10,8369
853,10,10715
854,10,9265
855,10,10724
856,10,11788
857,10,9746
858,10,11013
859,10,10135
860,10,9247
861,10,9855
863,10,10707
864,10,11213
865,10,10524
866,10,9532
868,10,9925
869,10,12174
870,10,11106
871,10,9967
872,10,9185
873,10,11191
874,10,9864
875,10,12608
876,10,9369
877,10,11999
878,10,9972
879,10,11327
880,10,11180
881,10,9220
882,10,12477
883,10,9854
884,10,11806
885,10,9086
886,10,10381
887,10,11006
888,10,9174
889,10,11244
890,10,9743
891,10,9353
892,10,9019
893,10,8966
894,10,9541
895,10,9851
896,10,11699
897,10,9122
898,10,8535
899,10,10386
900,10,8820
901,10,10308
902,10,9446
903,10,9733
904,10,8419
905,10,9266
906,10,10241
907,10,10245
908,10,8512
909,10,8897
910,10,8920
911,10,9195
912,10,9329
913,10,10011
914,10,10285
915,10,8680
916,10,9052
920,10,10565
921,10,9470
922,10,8722
923,10,8716
924,10,9047
925,10,10354
926,10,8852
927,10,9655
928,10,8785
929,10,9323
930,10,8484
931,10,9389
932,10,8619
933,10,9067
934,10,8615
935,10,10165
936,10,8885
937,10,11395
938,10,10426
939,10,12102
942,10,8806
943,10,9206
944,10,8985
945,10,8942
946,10,10142
947,10,9254
948,10,8399
949,10,10865
950,10,10974
951,10,10465
952,10,9182
954,10,11105
956,10,10846
957,10,12111
958,10,12670
959,10,9031
960,10,10022
962,10,9461
963,10,8985
964,10,9007
965,10,8408
966,10,9328
967,10,9314
968,10,8541
969,10,8609
970,10,10675
972,10,10284
973,10,9930
974,10,8831
975,10,8802
976,10,10495
977,10,8955
978,10,10084
979,10,8640
980,10,10551
981,10,8543
982,10,8788
983,10,10987
985,10,9536
986,10,11885
987,10,8915
988,10,9049
989,10,8843
990,10,11359
991,10,8829
992,10,8984
993,10,8607
994,10,8935
995,10,8542
997,10,10319
998,10,10707
999,10,8808
1000,10,10999
1002,15,8584
1003,15,9214
1004,15,8294
1005,15,8942
1006,15,9085
1007,15,10254
1008,15,9487
1009,15,8748
1010,15,8970
1011,15,9426
1012,15,10710
1014,15,9190
1015,15,11254
1016,15,8429
1017,15,9940
1018,15,8758
1019,15,9667
1020,15,8933
1021,15,10315
1022,15,10587
1023,15,11359
1024,15,8932
1026,15,10899
1027,15,11181
1028,15,11703
1029,15,12043
1030,15,11315
1031,15,12482
1032,15,11775
1033,15,11812
1034,15,12220
1035,15,11094
1036,15,12542
1037,15,13102
1038,15,11683
1039,15,8972
1040,15,8868
1041,15,12064
1042,15,12193
1043,15,11694
1044,15,8784
1045,15,10723
1046,15,9783
1047,15,9348
1048,15,12203
1049,15,10694
1050,15,9111
1051,15,10707
1052,15,9244
1053,15,10242
1054,15,10002
1055,15,9382
1056,15,10107
1057,15,8945
1058,15,8849
1059,15,8877
1060,15,9274
1061,15,9696
1062,15,9608
1063,15,8989
1064,15,8598
1065,15,10747
1066,15,10335
1067,15,9446
1068,15,11060
1069,15,10559
1070,15,9287
1071,15,8611
1072,15,9348
1073,15,8549
1074,15,9140
1075,15,9065
1076,15,8233
1077,15,8628
1078,15,10459
1079,15,9528
1080,15,10322
1081,15,9143
1082,15,8663
1083,15,8747
1084,15,8769
1085,15,9645
1086,15,9403
1087,15,8735
1088,15,10658
1089,15,9245
1090,15,10315
1091,15,10363
1092,15,9728
1093,15,9214
1094,15,10762
1095,15,8624
1096,15,9606
1097,15,9581
1098,15,11696
1099,15,9748
1100,15,11592
1101,15,9473
1102,15,8534
1103,15,9181
1104,15,10594
1105,15,10391
1106,15,8760
1107,15,8752
1108,15,9552
1109,15,10347
1110,15,8926
1111,15,9469
1112,15,9115
1113,15,8561
1115,15,9136
1116,15,8800
1117,15,11148
1118,15,8858
1119,15,8745
1120,15,9738
1121,15,9443
1122,15,9368
1123,15,8864
1124,15,8805
1125,15,9063
1126,15,9094
1127,15,9004
1128,15,9048
1129,15,10728
1130,15,11759
1131,15,9813
1132,15,9782
1133,15,10614
