frame number,frequency,latency
891,10,25336
892,10,12109
893,10,12163
894,10,10625
895,10,13005
896,10,13348
897,10,12443
898,10,13057
899,10,13000
900,10,12126
901,10,12811
902,10,12369
903,10,13308
904,10,11745
905,10,10504
906,10,12486
907,10,14962
908,10,14132
909,10,13140
910,10,13640
911,10,13688
912,10,11810
913,10,15292
914,10,13726
915,10,13283
916,10,14123
917,10,12704
918,10,12023
919,10,12458
920,10,13032
921,10,13462
922,10,12505
923,10,13130
924,10,15178
925,10,12983
926,10,11562
927,10,12900
928,10,11436
929,10,15504
930,10,26382
931,10,12094
932,10,25615
933,10,24042
934,10,16317
935,10,12587
936,10,11954
937,10,23408
938,10,11214
939,10,24949
940,10,21718
941,10,16005
942,10,13775
943,10,10348
944,10,25570
945,10,22557
946,10,11158
947,10,29318
948,10,22819
949,10,23657
950,10,27336
951,10,23791
952,10,23319
953,10,23934
954,10,26520
955,10,22678
956,10,24244
957,10,23469
958,10,10578
959,10,25167
960,10,23179
961,10,22294
962,10,12051
963,10,21698
964,10,22072
965,10,29658
966,10,11754
967,10,10032
968,10,16179
969,10,22357
970,10,13223
971,10,11758
972,10,11265
973,10,12660
974,10,11362
975,10,11488
976,10,11667
977,10,11361
978,10,22569
979,10,10668
980,10,22352
981,10,22171
982,10,23442
983,10,23219
984,10,22599
985,10,22680
986,10,12991
987,10,11410
988,10,22336
989,10,22283
990,10,27116
991,10,11952
992,10,11660
993,10,21548
994,10,24146
995,10,22215
996,10,14158
997,10,22687
998,10,22962
999,10,23253
1000,10,15684
1001,15,11351
1002,15,22501
1003,15,11426
1004,15,22803
1005,15,22733
1006,15,22262
1007,15,10869
1008,15,22797
1009,15,21910
1010,15,22323
1011,15,16593
1012,15,11982
1013,15,12344
1014,15,22580
1015,15,23497
1016,15,11865
1017,15,11351
1018,15,23030
1019,15,11875
1020,15,12382
1021,15,21383
1022,15,22383
1023,15,16010
1024,15,12413
1025,15,10182
1026,15,22828
1027,15,12889
1028,15,23200
1029,15,12059
1030,15,23179
1031,15,22460
1032,15,22256
1033,15,23516
1034,15,19822
1035,15,25026
1036,15,25700
1037,15,22637
1038,15,11454
1039,15,22578
1040,15,23246
1041,15,22328
1042,15,23268
1043,15,22897
1044,15,13485
1045,15,22337
1046,15,11419
1047,15,22687
1048,15,22268
1049,15,22982
1050,15,13110
1051,15,11231
1052,15,12111
1053,15,23181
1054,15,21885
1055,15,11041
1056,15,11612
1057,15,21943
1058,15,10781
1059,15,22212
1060,15,22414
1061,15,22925
1062,15,21969
1063,15,22171
1064,15,22132
1065,15,14366
1066,15,21924
1067,15,24210
1068,15,22664
1069,15,22470
1070,15,22618
1071,15,23029
1072,15,23071
1073,15,22887
1074,15,22591
1075,15,11570
1076,15,22598
1077,15,22599
1078,15,22307
1079,15,22932
1080,15,27446
1081,15,29450
1082,15,15432
1083,15,11402
1084,15,13774
1085,15,23283
1086,15,10476
1087,15,22496
1088,15,22502
1089,15,22736
1090,15,25214
1091,15,22575
1092,15,23347
1093,15,11132
1094,15,11493
1095,15,10933
1096,15,11593
1097,15,22121
1098,15,10500
1099,15,21701
1100,15,22086
1101,15,44212
1102,15,22426
1103,15,22944
1104,15,10898
1105,15,10550
1106,15,28402
1107,15,10413
1108,15,18841
1109,15,11360
1110,15,10316
1111,15,22392
1112,15,16230
1113,15,11778
1114,15,11667
1115,15,20277
1116,15,12076
1117,15,16860
1118,15,10584
1119,15,15869
1120,15,30447
1121,15,12455
1122,15,22144
1123,15,23732
1124,15,15130
1125,15,22621
1126,15,22494
1127,15,23665
1128,15,12602
1129,15,11148
1130,15,23551
1131,15,22736
1132,15,23332
1133,15,22100
1134,15,11053
1135,15,24699
1136,15,22210
1137,15,23790
1138,15,28464
1139,15,10177
1140,15,22115
1141,15,23680
1142,15,24692
1143,15,23636
1144,15,27060
1145,15,11538
1146,15,11698
1147,15,22666
1148,15,49348
1149,15,11308
1150,15,22338
1151,15,22623
1152,15,23219
1153,15,21922
1154,15,23330
1155,15,10566
1156,15,27654
1157,15,25366
1158,15,21989
1159,15,11413
1160,15,22055
1161,15,23658
1162,15,15992
1163,15,22988
1164,15,11426
