frame number,frequency,latency
724,10,9678
725,10,29010
726,10,18780
727,10,11284
728,10,8102
729,10,11211
730,10,8994
731,10,8597
732,10,9716
733,10,8938
734,10,8339
735,10,8816
736,10,9107
737,10,8593
738,10,11950
739,10,8662
740,10,9391
741,10,14555
742,10,8895
743,10,9609
744,10,8439
745,10,9848
746,10,13262
747,10,23082
748,10,9449
749,10,10615
750,10,8012
751,10,9794
752,10,9853
753,10,8486
754,10,8607
755,10,8805
756,10,8570
757,10,14493
758,10,9043
759,10,8192
760,10,10521
761,10,9991
762,10,16614
763,10,8286
764,10,10764
765,10,9209
766,10,15164
767,10,8720
768,10,14915
769,10,15548
770,10,9398
771,10,8184
772,10,14355
773,10,10876
774,10,9482
775,10,8584
776,10,14598
777,10,10559
778,10,14768
779,10,7996
780,10,14268
781,10,14260
782,10,21544
783,10,9992
784,10,7950
785,10,9870
786,10,10007
787,10,8085
788,10,10064
789,10,8803
790,10,8970
791,10,16408
792,10,8337
793,10,27572
794,10,8837
795,10,28954
796,10,8578
797,10,10318
798,10,28263
799,10,8967
800,10,9317
801,10,8723
802,10,9466
803,10,8620
804,10,9913
805,10,8687
806,10,7917
807,10,10164
808,10,14983
809,10,17724
810,10,13448
811,10,8981
812,10,29216
813,10,8548
814,10,18591
815,10,16129
816,10,14150
817,10,17977
818,10,9319
819,10,14382
820,10,14123
821,10,16694
822,10,8407
823,10,14993
824,10,14745
825,10,15153
826,10,13369
827,10,9503
828,10,15599
829,10,8788
830,10,8994
831,10,30495
832,10,16211
833,10,9033
834,10,10271
835,10,8466
836,10,9565
837,10,16078
838,10,9425
839,10,14432
840,10,9610
841,10,9435
842,10,17929
843,10,15403
844,10,14073
845,10,24552
846,10,14290
847,10,14049
848,10,16384
849,10,8998
850,10,10238
851,10,11292
852,10,15220
853,10,14718
854,10,21101
855,10,14948
856,10,8962
857,10,19517
858,10,10944
859,10,15699
860,10,9880
861,10,10204
862,10,8697
863,10,9288
864,10,9381
865,10,8994
866,10,9674
867,10,10276
868,10,29994
869,10,11735
870,10,10082
871,10,8515
872,10,8820
873,10,8762
874,10,9143
875,10,15997
876,10,10550
877,10,8602
878,10,15016
879,10,18074
880,10,8249
881,10,15314
882,10,14399
883,10,8871
884,10,17917
885,10,14790
886,10,8669
887,10,19844
888,10,10062
889,10,8487
890,10,9078
891,10,9470
892,10,8240
893,10,9103
894,10,9171
895,10,9285
896,10,10129
897,10,8683
898,10,7858
899,10,8503
900,10,11443
901,10,8368
902,10,15872
903,10,8253
904,10,16159
905,10,12212
906,10,14921
907,10,11124
908,10,9134
909,10,30629
910,10,8578
911,10,8256
912,10,9940
913,10,17855
914,10,13799
915,10,13304
916,10,9502
917,10,8363
918,10,9618
919,10,8944
920,10,28990
921,10,14997
922,10,9091
923,10,8241
924,10,42179
925,10,15141
926,10,9736
927,10,8312
928,10,8165
929,10,14037
930,10,14202
931,10,9660
932,10,14468
933,10,8483
934,10,8418
935,10,7833
936,10,11002
937,10,8465
938,10,9663
939,10,9277
940,10,30528
941,10,8443
942,10,9129
943,10,9416
944,10,8297
945,10,9144
946,10,11031
947,10,11052
948,10,10583
949,10,9675
950,10,8585
951,10,15057
952,10,15264
953,10,10544
954,10,10782
955,10,8011
956,10,15648
957,10,9137
958,10,8177
959,10,14532
960,10,15126
961,10,8352
962,10,10574
963,10,8359
964,10,9145
965,10,9080
966,10,8517
967,10,8507
968,10,15309
969,10,9715
970,10,14052
971,10,14210
972,10,7995
973,10,9032
974,10,8026
975,10,8756
976,10,15438
977,10,8437
978,10,10103
979,10,14090
980,10,17844
981,10,14836
982,10,14219
983,10,9493
984,10,9308
985,10,9008
986,10,7945
987,10,8713
988,10,9475
989,10,28891
990,10,8010
991,10,9255
992,10,8262
993,10,28090
994,10,15660
995,10,9149
996,10,16644
997,10,9448
998,10,15589
999,10,18751
1000,10,9114
1001,15,8592
1002,15,10602
1003,15,8988
1004,15,8830
1005,15,8410
1006,15,7960
1007,15,8215
1008,15,14462
1009,15,18216
1010,15,15278
1011,15,10270
1012,15,10584
1013,15,8618
1014,15,9224
1015,15,8255
1016,15,16130
1017,15,10146
1018,15,10055
1019,15,16259
1020,15,14733
1021,15,14724
1022,15,18815
1023,15,8372
1024,15,14820
1025,15,9020
1026,15,9475
1027,15,16710
