frame number,image_height,image_width,publisher_sent,subscriber_received,frequency,latency,packets_receieved_count,transport
2820,1920,1080,1704147975034970940,1704147975165452072,50,130481132,198,1
2821,1920,1080,1704147975229804082,1704147975359843853,50,130039771,199,1
2868,1920,1080,1704147982894908468,1704147983030249903,50,135341435,200,1
2889,1920,1080,1704147986126630884,1704147986259244816,50,132613932,201,1
2893,1920,1080,1704147986762706861,1704147986897590601,50,134883740,202,1
2898,1920,1080,1704147987596485160,1704147987728888746,50,132403586,203,1
2913,1920,1080,1704147990129142343,1704147990257522344,50,128380001,204,1
2938,1920,1080,1704147994219102589,1704147994350455109,50,131352520,205,1
2941,1920,1080,1704147994741133458,1704147994874594443,50,133460985,206,1
2965,1920,1080,1704147998482522649,1704147998626708302,50,144185653,207,1
2969,1920,1080,1704147999182360601,1704147999321162252,50,138801651,208,1
2980,1920,1080,1704148001116028789,1704148001249963137,50,133934348,209,1
2981,1920,1080,1704148001314341816,1704148001449351231,50,135009415,210,1
3002,1920,1080,1704148004800777454,1704148004928035385,50,127257931,211,1
3016,1920,1080,1704148007116662133,1704148007259345693,55,142683560,212,1
3025,1920,1080,1704148008548139690,1704148008680035577,55,131895887,213,1
3037,1920,1080,1704148010467263974,1704148010599252868,55,131988894,214,1
3049,1920,1080,1704148012564162341,1704148012700203820,55,136041479,215,1
3059,1920,1080,1704148014081151562,1704148014215294923,55,134143361,216,1
3066,1920,1080,1704148015148409418,1704148015302002991,55,153593573,217,1
3077,1920,1080,1704148016988264431,1704148017126804399,55,138539968,218,1
3079,1920,1080,1704148017368074771,1704148017500227342,55,132152571,219,1
3085,1920,1080,1704148018296963336,1704148018428243519,55,131280183,220,1
3094,1920,1080,1704148019670864640,1704148019806045066,55,135180426,221,1
3101,1920,1080,1704148020691119567,1704148020820438961,55,129319394,222,1
3118,1920,1080,1704148023089115039,1704148023220712908,55,131597869,223,1
3131,1920,1080,1704148025283782504,1704148025425204652,55,141422148,224,1
3137,1920,1080,1704148026286346330,1704148026425392663,55,139046333,225,1
3142,1920,1080,1704148027058023430,1704148027194581276,55,136557846,226,1
3148,1920,1080,1704148028167077561,1704148028305151834,55,138074273,227,1
3150,1920,1080,1704148028565407723,1704148028698910045,55,133502322,228,1
3172,1920,1080,1704148031705163434,1704148031838689757,55,133526323,229,1
3173,1920,1080,1704148031892626119,1704148032023037915,55,130411796,230,1
3176,1920,1080,1704148032399751064,1704148032530422209,55,130671145,231,1
3177,1920,1080,1704148032592724426,1704148032724733988,55,132009562,232,1
3183,1920,1080,1704148033670647283,1704148033808226526,55,137579243,233,1
3185,1920,1080,1704148034054962573,1704148034185526711,55,130564138,234,1
3186,1920,1080,1704148034244450717,1704148034384346104,55,139895387,235,1
3207,1920,1080,1704148037799355977,1704148037940336431,55,140980454,236,1
3210,1920,1080,1704148038314929115,1704148038450032870,55,135103755,237,1
3211,1920,1080,1704148038507222768,1704148038652067130,55,144844362,238,1
3224,1920,1080,1704148040842893028,1704148040990896921,55,148003893,239,1
3246,1920,1080,1704148044521021306,1704148044665877002,55,144855696,240,1
3254,1920,1080,1704148045782100250,1704148045920342201,55,138241951,241,1
3266,1920,1080,1704148047584362262,1704148047718246942,55,133884680,242,1
3272,1920,1080,1704148048565207405,1704148048694628139,55,129420734,243,1
3278,1920,1080,1704148049598345140,1704148049723768959,55,125423819,244,1
3304,1920,1080,1704148053884757342,1704148054015611499,55,130854157,245,1
3319,1920,1080,1704148056269277321,1704148056403778372,60,134501051,246,1
3345,1920,1080,1704148059940697856,1704148060079864865,60,139167009,247,1
3368,1920,1080,1704148063513442910,1704148063637952005,60,124509095,248,1
