frame number,image_height,image_width,publisher_sent,subscriber_received,frequency,latency,packets_receieved_count,transport
2720,1920,1080,1704138532036446171,1704138532182651661,50,146205490,175,1
2730,1920,1080,1704138533716189034,1704138533842657955,50,126468921,176,1
2744,1920,1080,1704138535862752129,1704138536004058645,50,141306516,177,1
2758,1920,1080,1704138538049714416,1704138538183693139,50,133978723,178,1
2780,1920,1080,1704138541556942371,1704138541687650222,50,130707851,179,1
2781,1920,1080,1704138541745114154,1704138541879009872,50,133895718,180,1
2795,1920,1080,1704138544022683435,1704138544173851900,50,151168465,181,1
2798,1920,1080,1704138544603210118,1704138544741233427,50,138023309,182,1
2805,1920,1080,1704138545807667202,1704138545945593838,50,137926636,183,1
2820,1920,1080,1704138548208420520,1704138548345668780,50,137248260,184,1
2858,1920,1080,1704138554139397185,1704138554271284108,50,131886923,185,1
2865,1920,1080,1704138555219517139,1704138555358237157,50,138720018,186,1
2906,1920,1080,1704138561910287994,1704138562049665052,50,139377058,187,1
2911,1920,1080,1704138562744490214,1704138562880124371,50,135634157,188,1
2926,1920,1080,1704138565068873380,1704138565204117179,50,135243799,189,1
2927,1920,1080,1704138565270212316,1704138565403476658,50,133264342,190,1
2945,1920,1080,1704138568275634771,1704138568408873111,50,133238340,191,1
2947,1920,1080,1704138568654497152,1704138568803303799,50,148806647,192,1
2981,1920,1080,1704138573925626072,1704138574057297646,50,131671574,193,1
3015,1920,1080,1704138579162299477,1704138579304961405,55,142661928,194,1
3017,1920,1080,1704138579541396869,1704138579671517679,55,130120810,195,1
3025,1920,1080,1704138580794939651,1704138580931583536,55,136643885,196,1
3030,1920,1080,1704138581672973266,1704138581804515498,55,131542232,197,1
3042,1920,1080,1704138583585854974,1704138583739637931,55,153782957,198,1
3060,1920,1080,1704138586427701143,1704138586564151682,55,136450539,199,1
3067,1920,1080,1704138587663979837,1704138587801005412,55,137025575,200,1
3071,1920,1080,1704138588360127399,1704138588494096115,55,133968716,201,1
3082,1920,1080,1704138590247495165,1704138590403828281,55,156333116,202,1
3119,1920,1080,1704138595961478025,1704138596096631481,55,135153456,203,1
3120,1920,1080,1704138596160502144,1704138596293815819,55,133313675,204,1
3125,1920,1080,1704138596984966062,1704138597110185230,55,125219168,205,1
3130,1920,1080,1704138597838130775,1704138597980826370,55,142695595,206,1
3138,1920,1080,1704138599207397111,1704138599332763621,55,125366510,207,1
3149,1920,1080,1704138600884267690,1704138601019897842,55,135630152,208,1
3151,1920,1080,1704138601208472306,1704138601359407416,55,150935110,209,1
3163,1920,1080,1704138603240716449,1704138603372685705,55,131969256,210,1
3168,1920,1080,1704138604098753462,1704138604234115597,55,135362135,211,1
3181,1920,1080,1704138606308742052,1704138606436204359,55,127462307,212,1
3188,1920,1080,1704138607359900811,1704138607489231235,55,129330424,213,1
3194,1920,1080,1704138608308748835,1704138608445696069,55,136947234,214,1
3201,1920,1080,1704138609424939994,1704138609558260001,55,133320007,215,1
3237,1920,1080,1704138615024212250,1704138615163821983,55,139609733,216,1
3248,1920,1080,1704138616861648183,1704138616996082926,55,134434743,217,1
3280,1920,1080,1704138621817057134,1704138621949767768,55,132710634,218,1
